,country_code,country_name,year,value
0,HIC,High income,1960,5798977.20372845
1,HIC,High income,1961,5926072.78308397
2,HIC,High income,1962,6202366.43741081
3,HIC,High income,1963,6549112.08346592
4,HIC,High income,1964,6882065.0601966
5,HIC,High income,1965,7183789.36317948
6,HIC,High income,1966,7497295.74852158
7,HIC,High income,1967,7832862.90985669
8,HIC,High income,1968,8247889.56424048
9,HIC,High income,1969,8783274.52981661
10,HIC,High income,1970,9550102.45196562
11,HIC,High income,1971,9740081.78137089
12,HIC,High income,1972,10228525.3028489
13,HIC,High income,1973,10763972.563538
14,HIC,High income,1974,10510987.9569132
15,HIC,High income,1975,10168655.5463136
16,HIC,High income,1976,10734639.871362
17,HIC,High income,1977,10949354.5136089
18,HIC,High income,1978,11232112.0312077
19,HIC,High income,1979,11535393.7120138
20,HIC,High income,1980,11294922.1170733
21,HIC,High income,1981,10837684.2941668
22,HIC,High income,1982,10432965.4044695
23,HIC,High income,1983,10401082.7656708
24,HIC,High income,1984,10691195.2596032
25,HIC,High income,1985,10814460.6760657
26,HIC,High income,1986,10833128.4449077
27,HIC,High income,1987,11130699.7403617
28,HIC,High income,1988,11538242.6751786
29,HIC,High income,1989,11837259.2172527
30,HIC,High income,1990,11662286.2963047
31,HIC,High income,1991,11656549.4989739
32,HIC,High income,1992,11694563.437159
33,HIC,High income,1993,11780309.1623886
34,HIC,High income,1994,11968296.4571301
35,HIC,High income,1995,12144575.377248
36,HIC,High income,1996,12517640.7367679
37,HIC,High income,1997,12760770.6990916
38,HIC,High income,1998,12752185.9187442
39,HIC,High income,1999,12827141.973549
40,HIC,High income,2000,13129783.5523119
41,HIC,High income,2001,13202105.9884133
42,HIC,High income,2002,13108305.983246
43,HIC,High income,2003,13342351.4140652
44,HIC,High income,2004,13485505.855414
45,HIC,High income,2005,13527970.5580209
46,HIC,High income,2006,13470500.3813278
47,HIC,High income,2007,13639623.2814959
48,HIC,High income,2008,13368207.5169187
49,HIC,High income,2009,12615646.2491588
50,HIC,High income,2010,13142042.9644116
51,HIC,High income,2011,12916542.1642067
52,HIC,High income,2012,12770019.0698398
53,HIC,High income,2013,12855642.279629
54,HIC,High income,2014,12653466.0885723
55,HIC,High income,2015,12615686.7579972
56,HIC,High income,2016,12519131.1146485
57,HIC,High income,2017,12444379.3161073
58,HIC,High income,2018,12459854.4194265
59,HIC,High income,2019,12125558.4114817
