,country_code,country_name,year,value
0,LMC,Lower middle income,1960,447336.615387874
1,LMC,Lower middle income,1961,475580.383132816
2,LMC,Lower middle income,1962,508478.430231251
3,LMC,Lower middle income,1963,550722.691275773
4,LMC,Lower middle income,1964,574666.364657228
5,LMC,Lower middle income,1965,634433.470871579
6,LMC,Lower middle income,1966,673374.084960194
7,LMC,Lower middle income,1967,679451.693377621
8,LMC,Lower middle income,1968,751201.896657193
9,LMC,Lower middle income,1969,783364.552920904
10,LMC,Lower middle income,1970,880748.731547027
11,LMC,Lower middle income,1971,944735.308508727
12,LMC,Lower middle income,1972,976078.700859598
13,LMC,Lower middle income,1973,1085071.32671292
14,LMC,Lower middle income,1974,1134795.79956193
15,LMC,Lower middle income,1975,1160138.78106888
16,LMC,Lower middle income,1976,1245687.66524715
17,LMC,Lower middle income,1977,1330524.33448846
18,LMC,Lower middle income,1978,1400968.32687863
19,LMC,Lower middle income,1979,1456159.04936883
20,LMC,Lower middle income,1980,1464118.0512894
21,LMC,Lower middle income,1981,1476160.41884856
22,LMC,Lower middle income,1982,1549761.89745926
23,LMC,Lower middle income,1983,1642011.53716947
24,LMC,Lower middle income,1984,1718544.96727068
25,LMC,Lower middle income,1985,1835069.26608239
26,LMC,Lower middle income,1986,1901851.28667167
27,LMC,Lower middle income,1987,1998124.94077572
28,LMC,Lower middle income,1988,2141250.46748302
29,LMC,Lower middle income,1989,2199824.2109238
30,LMC,Lower middle income,1990,2244488.88259933
31,LMC,Lower middle income,1991,2311084.11443927
32,LMC,Lower middle income,1992,2290422.85103085
33,LMC,Lower middle income,1993,2271627.11894479
34,LMC,Lower middle income,1994,2256580.5088855
35,LMC,Lower middle income,1995,2359320.4865655
36,LMC,Lower middle income,1996,2405322.41432173
37,LMC,Lower middle income,1997,2501987.61139151
38,LMC,Lower middle income,1998,2525354.4655209
39,LMC,Lower middle income,1999,2660693.76093096
40,LMC,Lower middle income,2000,2732859.34775098
41,LMC,Lower middle income,2001,2820171.78853474
42,LMC,Lower middle income,2002,2894542.76974241
43,LMC,Lower middle income,2003,3020892.79090517
44,LMC,Lower middle income,2004,3163010.23994405
45,LMC,Lower middle income,2005,3275838.06608255
46,LMC,Lower middle income,2006,3448277.45756726
47,LMC,Lower middle income,2007,3668009.24841639
48,LMC,Lower middle income,2008,3794148.77880486
49,LMC,Lower middle income,2009,3942591.16412841
50,LMC,Lower middle income,2010,4149933.47439006
51,LMC,Lower middle income,2011,4380120.039605
52,LMC,Lower middle income,2012,4580425.5923436
53,LMC,Lower middle income,2013,4676814.58723637
54,LMC,Lower middle income,2014,4949211.39277361
55,LMC,Lower middle income,2015,5009123.57224087
56,LMC,Lower middle income,2016,5126813.03620968
57,LMC,Lower middle income,2017,5360016.6001511
58,LMC,Lower middle income,2018,5658014.18192263
59,LMC,Lower middle income,2019,5794899.3610944
