,country_code,country_name,year,value
0,MIC,Middle income,1960,3511602.56974776
1,MIC,Middle income,1961,3337585.08150048
2,MIC,Middle income,1962,3355417.95600213
3,MIC,Middle income,1963,3541338.75938831
4,MIC,Middle income,1964,3746288.08106747
5,MIC,Middle income,1965,4011122.26862249
6,MIC,Middle income,1966,4281384.05375834
7,MIC,Middle income,1967,4347329.58446262
8,MIC,Middle income,1968,4589612.61029292
9,MIC,Middle income,1969,4924750.25361712
10,MIC,Middle income,1970,5431889.47672499
11,MIC,Middle income,1971,5861571.73602507
12,MIC,Middle income,1972,6158389.98894578
13,MIC,Middle income,1973,6506872.28936727
14,MIC,Middle income,1974,6737519.62654719
15,MIC,Middle income,1975,7187356.1063791
16,MIC,Middle income,1976,7560229.43864047
17,MIC,Middle income,1977,7939938.95073352
18,MIC,Middle income,1978,8401651.80737539
19,MIC,Middle income,1979,8612622.56770558
20,MIC,Middle income,1980,8781577.01348759
21,MIC,Middle income,1981,8724677.81161749
22,MIC,Middle income,1982,9087519.17102864
23,MIC,Middle income,1983,9330866.04382632
24,MIC,Middle income,1984,9627432.11441214
25,MIC,Middle income,1985,10296497.3541649
26,MIC,Middle income,1986,10559098.2196115
27,MIC,Middle income,1987,10869653.5880112
28,MIC,Middle income,1988,11351676.897804
29,MIC,Middle income,1989,11455592.9939318
30,MIC,Middle income,1990,8638739.10233084
31,MIC,Middle income,1991,8787754.50637859
32,MIC,Middle income,1992,8792989.29842393
33,MIC,Middle income,1993,8851320.10857132
34,MIC,Middle income,1994,8785682.93407808
35,MIC,Middle income,1995,9199713.5832488
36,MIC,Middle income,1996,9283566.62501524
37,MIC,Middle income,1997,9420185.62956429
38,MIC,Middle income,1998,9549958.67080846
39,MIC,Middle income,1999,9578423.46560241
40,MIC,Middle income,2000,9984947.57606165
41,MIC,Middle income,2001,10299201.3126793
42,MIC,Middle income,2002,10703093.2151828
43,MIC,Middle income,2003,11577130.7960825
44,MIC,Middle income,2004,12561342.1390717
45,MIC,Middle income,2005,13461211.6945026
46,MIC,Middle income,2006,14385672.5291088
47,MIC,Middle income,2007,15282809.82858
48,MIC,Middle income,2008,15750239.4334394
49,MIC,Middle income,2009,16176944.0985528
50,MIC,Middle income,2010,17401671.4740736
51,MIC,Middle income,2011,18607802.8744137
52,MIC,Middle income,2012,19170974.8233281
53,MIC,Middle income,2013,19757817.0765971
54,MIC,Middle income,2014,20030749.9451088
55,MIC,Middle income,2015,19898576.6494798
56,MIC,Middle income,2016,20017478.8743376
57,MIC,Middle income,2017,20560712.9036987
58,MIC,Middle income,2018,21319341.591518
59,MIC,Middle income,2019,21712598.056094
