,country_code,country_name,year,value
0,UMC,Upper middle income,1960,2924452.73988829
1,UMC,Upper middle income,1961,2745886.27042933
2,UMC,Upper middle income,1962,2740296.82846563
3,UMC,Upper middle income,1963,2882742.54181429
4,UMC,Upper middle income,1964,3054869.00205422
5,UMC,Upper middle income,1965,3257761.69501604
6,UMC,Upper middle income,1966,3479861.0066676
7,UMC,Upper middle income,1967,3536391.32658591
8,UMC,Upper middle income,1968,3710356.63222549
9,UMC,Upper middle income,1969,3996775.02966216
10,UMC,Upper middle income,1970,4396946.67170053
11,UMC,Upper middle income,1971,4748640.03050451
12,UMC,Upper middle income,1972,5000359.11954129
13,UMC,Upper middle income,1973,5246625.28529213
14,UMC,Upper middle income,1974,5424915.31440608
15,UMC,Upper middle income,1975,5821524.45911329
16,UMC,Upper middle income,1976,6106231.99487073
17,UMC,Upper middle income,1977,6397715.6777171
18,UMC,Upper middle income,1978,6774474.31621818
19,UMC,Upper middle income,1979,6930929.1935351
20,UMC,Upper middle income,1980,7080956.24931578
21,UMC,Upper middle income,1981,7020384.05582208
22,UMC,Upper middle income,1982,7304014.21254446
23,UMC,Upper middle income,1983,7464968.96996646
24,UMC,Upper middle income,1984,7685617.00640619
25,UMC,Upper middle income,1985,8221718.38407381
26,UMC,Upper middle income,1986,8417768.96607775
27,UMC,Upper middle income,1987,8637817.55854309
28,UMC,Upper middle income,1988,8983664.32939162
29,UMC,Upper middle income,1989,9039307.31128507
30,UMC,Upper middle income,1990,6394510.08723789
31,UMC,Upper middle income,1991,6476987.81173463
32,UMC,Upper middle income,1992,6502838.29966784
33,UMC,Upper middle income,1993,6579896.2452693
34,UMC,Upper middle income,1994,6529307.89905268
35,UMC,Upper middle income,1995,6840600.79159148
36,UMC,Upper middle income,1996,6878504.53764938
37,UMC,Upper middle income,1997,6918589.07458629
38,UMC,Upper middle income,1998,7024977.65714784
39,UMC,Upper middle income,1999,6918368.99477281
40,UMC,Upper middle income,2000,7252670.2314481
41,UMC,Upper middle income,2001,7479632.54091273
42,UMC,Upper middle income,2002,7809102.08179803
43,UMC,Upper middle income,2003,8556613.27022724
44,UMC,Upper middle income,2004,9398508.24064939
45,UMC,Upper middle income,2005,10185333.6582683
46,UMC,Upper middle income,2006,10937246.6388156
47,UMC,Upper middle income,2007,11614652.3210394
48,UMC,Upper middle income,2008,11955965.9392877
49,UMC,Upper middle income,2009,12234316.7117469
50,UMC,Upper middle income,2010,13251515.6113782
51,UMC,Upper middle income,2011,14227329.4162082
52,UMC,Upper middle income,2012,14590321.4387596
53,UMC,Upper middle income,2013,15080679.5339209
54,UMC,Upper middle income,2014,15081629.3063322
55,UMC,Upper middle income,2015,14889729.5243453
56,UMC,Upper middle income,2016,14891120.545619
57,UMC,Upper middle income,2017,15201352.6666322
58,UMC,Upper middle income,2018,15662209.6966048
59,UMC,Upper middle income,2019,15918662.6965286
